7.02257248438633,6.32616975723148,2.64746278252729e-12,2.26991391430361e-11,-33753.7010179947,-36418.7430295312,7.02257248438633,0,8.22811165712219e-09,0,-12000,0,0
9.99992924661688,8.83878571667149,7.41699230433617e-11,1.29644046709677e-10,-24931.7081981987,-24931.7081981987,10,0,2.36861584011843e-08,0,-5800,0,0
1,18.92,1.3958447721261e-09,5.91181315253409e-12,-33000,-33000,3.2,0,1.04013483089031e-08,0,-12000,0,0
6.8,9.9,2.44e-11,1.39e-10,-42000,-24000,14,0,4.96e-10,0,-18000,0,0
48,0,8.06e-10,0,-14000,-14000,48,0,1.11e-09,0,-10000,0,0
6.212,7.15,4.3771950283527e-11,4.60879264890047e-13,-37853,-37853,11.9,0,1.38381081748143e-10,0,-19434.6,0,0
28.5538186436634,0,5.93852866269217e-11,0,-25000,-25000,28.5538186436634,0,1.22040239957074e-09,0,-12000,0,0
1.53565167540578,2.67484603376329,5.85345193627719e-13,4.52325821519039e-12,-32500,-32500,1.53565167540578,0,5.01034516202895e-11,0,-18000,0,0
6.81657823612286,0,8.43674415098552e-11,0,-32000,-32000,3.89059798361789,0,3.82759822483871e-09,0,-12000,0,0
2.72727764341153,0.249599335971298,2.89127836156796e-12,2.00758727180358e-21,-52093.8779597488,-90236.5205072872,2.72727764341153,0,6.52e-09,0,-12000,0,0
4.5409351369275,0,9.9312811081805e-13,0,-42000,-42000,2.18190720277024,0,1.53895154434375e-10,0,-19000,0,0
5,3,9.46e-11,6.15e-16,-33000,-48000,12.7,0,4.29e-10,0,-12300,0,0
7.26543818509888,0,1.21547436386518e-09,0,-16120.4419825087,-16120.4419825087,7.26543818509888,0,2.3458921216896e-10,0,-7020.02754740736,0,0
7,5.1,3.20714028664748e-10,2.14894679105313e-11,-27500,-27500,6,0,5.18977441624449e-09,0,-10000,0,0
6.57,3.13,1.44e-07,9.41e-07,-29243,-30800,9.606,0,7.35e-06,0,-12900,0,1
3.09,2.54,8.65e-07,2.63e-08,-36641.21,-35690.66,5.84,0,2.5e-06,0,-15800,0,1
